1. Grama Niladhari Division,2. Gender,3. Age of the child (Years),4. Weight of the child (kg):,5. How would you rate your child’s Overall Academic performances? [.],6. Number of people who live in your household,7. What animal protein sources do you give your child the most?,8. Is seafood available frequently in your area?,9. Does your child eat freshwater fish?,"9. (A) If Yes, mention the most preferred freshwater fish type of the child.","9. (B) If no, what is the reason?","9. (C) If your child hesitates to eat freshwater fish, what are the methods you used to encourage/improve their consumption usually?",10. Why does your child prefer freshwater fish?,11. What is the reason for including freshwater fish in your child’s diet?,12. Has the amount of freshwater fish your family  consumed changed over the last 3 years?,"13. If changed, what is the reason?",14. Have you ever received any guidance or recommendation from a healthcare professional regarding freshwater fish consumption of your child?,15. Have you ever limited your child’s freshwater fish consumption due to any reason?,"16. If Yes, what is the reason?","17. “Freshwater fish is a healthy source of animal protein and provide
other important nutrients for children.”",18. How often does your child eat freshwater fish?,"19. When the child eats freshwater fish, what is the average amount per
day?",20. How many pieces the child eats per meal?,21.What is your child’s favorite way of preparing freshwater fish?,22.What type of freshwater fish usually purchase in your household and how much per month? [Tilapia],22.What type of freshwater fish usually purchase in your household and how much per month? [Korali],22.What type of freshwater fish usually purchase in your household and how much per month? [Hunga],22.What type of freshwater fish usually purchase in your household and how much per month? [Loolla],22.What type of freshwater fish usually purchase in your household and how much per month? [Pethiya],22.What type of freshwater fish usually purchase in your household and how much per month? [Aandha],22.What type of freshwater fish usually purchase in your household and how much per month? [Kawayya],22.What type of freshwater fish usually purchase in your household and how much per month? [Ankutta],22.What type of freshwater fish usually purchase in your household and how much per month? [Magura],22.What type of freshwater fish usually purchase in your household and how much per month? [Karadu issa],22.What type of freshwater fish usually purchase in your household and how much per month? [Carp Spp.],22.What type of freshwater fish usually purchase in your household and how much per month? [Other],"22. (b) If you consume fish other than the above-mentioned species, please mention it here.",23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Dried fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Smoked fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Other],"23. (b) If you consume fish product other than the above-mentioned processed product, please mention it here.",24. What are the barriers to increasing freshwater fish consumption?,25. Where do you usually get the fish from?,"26. Have you noticed any allergies symptoms of your child after eating
Freshwater fish?","27. If Yes, please mention the fish species/s","28. If Yes, which symptoms have you observed?
(You can select more than one option)"
pandukabhayapura,female,10,not mentioned,Very Good,5,"Fish, Eggs",No,Yes,Not mentioned,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,No,Maybe,,Agree,3-4 times a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Fish yield is low,Directly from fishermen,No,,
pandukabhayapura,male,4,16,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,No,Not mentioned,Unpleasant smell,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Serve with their favorite foods, Try different recipes with different flavors",,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandurugasdamana,female,5,21,Fair,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,2,"Curry (With coconut milk), Fried fish",2 - 4 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Fish stall,No,,
sadamalgama,male,10,28,Good,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Theppili ,,,Milder taste,"Nutritional benefits, Health benefits, Taste, Readily available",No change,,No,No,,Agree,Twice a week,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,Less than 2 kg,Theppili ,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
wahamalgollewa,female,3,7,Good,3,Fish,Yes,Yes,Loolla ,,,As a food habit,Cheaper than other protein sources,No change,,No,No,,Agree,3-4 times a week,Two meals,1,Curry (With coconut milk),,,,2 - 4 kg,2 - 4 kg,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
parasangaswewa,female,5,14.5,Good,4,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Theppili ,,,As a food habit,Nutritional benefits,Increased,,No,No,,Agree,3-4 times a week,Two meals,1,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,,,Less than 0.5 kg,,,Less fishing these days,Directly from fishermen,No,,
katupuliyankulama,female,4,15.8,Excellent,3,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Theppili ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Try different recipes with different flavors",As a food habit,"Nutritional benefits, Cheaper than other protein sources, Freshness, Readily available",No change,,No,No,,Agree,Twice a week,One meal,2,Curry (With coconut milk),2 - 4 kg,,,,,,,,,,,2 - 4 kg,Theppili ,,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,female,4,12.6,Good,4,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Theppili ,,,Milder taste,Nutritional benefits,Increased,,No,No,,Agree,3-4 times a week,Three meals,2,Fried fish,More than 6 kg,,,,,,,,,,,4 - 6 kg,Theppili ,,,,,Expensive,Directly from fishermen,No,,
sadamalgama,female,8,21,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Tilapia ,,"Serve with their favorite foods, Involving child in choosing or cooking the fish, Try different recipes with different flavors",As a food habit,Freshness,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,2 - 4 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
sadamalgama,male,9,25,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Theppili ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,3,Curry (Chilled),,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
sadamalgama,male,9,28,Fair,3,Not mentioned ,Yes,No,Not mentioned,Dislike of the taste or texture,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallankulama,male,9,16,Fair,9,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Theppili ,,,As a food habit,Readily available,No change,,No,No,,Agree,3-4 times a week,Three meals,More than 3,Fried fish,,,,,,,,,,,,Less than 2 kg,Theppili ,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
doramadalawa,male,6,23,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,,As a food habit,"Nutritional benefits, Readily available",No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Fish yield is low,Directly from fishermen,Yes,,
pallankulama,female,6,16,Excellent,9,Eggs,Yes,Yes,Theppili ,,,Awareness of nutritional quality,Nutritional benefits,No change,Expensive ,Yes,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,,,,,,,,,Less than 2 kg,"Lellu, Theppili ",Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,female,3,15,Excellent,not  mentioned,Fish,No,Yes,Korali ,,,Milder taste,Nutritional benefits,Decreased,,No,No,,Agree,Few times a month,Two meals,2,Fried fish,,Less than 2 kg,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,female,5,18.1,Excellent,5,Fish,No,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",As a food habit,As a habit,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,1,Fried fish,,Less than 2 kg,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,male,4,14.8,Excellent,4,Fish,No,Yes,Not mentioned,,,As a food habit,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,1,Fried fish,,Less than 2 kg,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,female,4,14,Excellent,5,Fish,Yes,Yes,Not mentioned,,,Milder taste,Health benefits,No change,,No,No,,Strongly disagree,3-4 times a week,One meal,2,Curry (Chilled),,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
katupuliyankulama,male,4,13,Excellent,4,Fish,No,Yes,Not mentioned,,,Milder taste,Taste,No change,,No,No,,Strongly disagree,Daily,One meal,2,Fried fish,,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,male,4,12.8,Excellent,3,Fish,No,Yes,Not mentioned,,,As a food habit,As a habit,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,1,Fried fish,,Less than 2 kg,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
parasangaswewa,male,4,14.5,Good,4,Eggs,Yes,Yes,Loolla ,,,As a food habit,Freshness,Decreased,Expensive ,No,No,,Agree,Once a week,Two meals,3,Fried fish,2 - 4 kg,,,2 - 4 kg,,,,,,,,,,,0.5 - 1 kg,,,Fewer places to purchase,Delivery vehicles,No,,
ihalakolongaswewa,female,8,24,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Freshness,No change,,Yes,No,,Agree,Daily,One meal,2,Fried fish,4 - 6 kg,,,4 - 6 kg,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,No,,
konakumbukwewa,male,8,23,Very Good,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Freshness,No change,,Yes,No,,Agree,Daily,One meal,2,Curry (Chilled),2 - 4 kg,,2 - 4 kg,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
pinagama,female,8,26,Very Good,3,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Freshness,No change,,Yes,No,,Agree,Daily,One meal,2,Curry (Chilled),4 - 6 kg,,2 - 4 kg,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
mahakumbukwewa,female,8,20,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,Few times a month,One meal,1,Curry (Chilled),,,,Less than 2 kg,,,,,,,,,,,Less than 0.5 kg,,,Expensive,Not mentioned ,No,,
ihalakolongaswewa,female,7,17,Excellent,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Not mentioned,,,As a food habit,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Once a week,Two meals,2,Curry (With coconut milk),,Less than 2 kg,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
ihalakolongaswewa,male,7,16.5,Very Good,3,"Fish, Eggs, Dairy Products",Yes,Yes,Korali ,,,Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,3-4 times a week,One meal,1,Curry (With coconut milk),,Less than 2 kg,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
sadamalgama,male,4,14,not mentioned,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,3-4 times a week,Two meals,3,Fried fish,,2 - 4 kg,,,,,,,,,,,,,0.5 - 1 kg,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,male,5,24.5,Good,4,"Fish, Eggs",Yes,Yes,Korali ,,,As a food habit,Health benefits,No change,,Yes,No,,Agree,Once a week,Two meals,1,Fried fish,,2 - 4 kg,,,,,,,,,,,,,,,,Expensive,Fish stall,No,,
sadamalgama,male,5,12.8,not mentioned,4,"Fish, Dairy Products",Yes,Yes,Kawayya ,,,As a food habit,Nutritional benefits,No change,,Yes,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,,,,2 - 4 kg,,,,,,,,0.5 - 1 kg,,,Expensive,Delivery vehicles,No,,
sadamalgama,male,5,not mentioned,not mentioned,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Loolla ,,,Milder taste,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,3-4 times a week,Two meals,3,Fried fish,,,,4 - 6 kg,,,,,,,,,,,1 - 1.5 kg,,,Expensive,Delivery vehicles,No,,
weheragala,male,8,not mentioned,Good,4,"Fish, Eggs",No,Yes,Loolla ,,,Awareness of nutritional quality,Nutritional benefits,Increased,,Yes,No,,Agree,Twice a week,One meal,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,,,,,,,,,,,1 - 1.5 kg,,Expensive,Wholesale,No,,
rambewa,female,8,23,Very Good,5,Fish,Yes,Yes,Loolla ,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,,Fried fish,,,,2 - 4 kg,,,,,,Less than 2 kg,,2 - 4 kg,Lellu,,,,,Fewer places to purchase,"Delivery vehicles, Fair",No,,
pallankulama,female,9,16,Fair,5,Fish,Yes,Yes,Not mentioned,,,As a food habit,Cheaper than other protein sources,No change,,No,No,,Neither agree nor disagree,Twice a week,Two meals,1,Curry (Chilled),Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Expensive,Directly from fishermen,No,,
pallankulama,male,10,not mentioned,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Agree,Twice a week,Two meals,2,Curry (With coconut milk),,,Less than 2 kg,,,,Less than 2 kg,,,,,,,,,,,Expensive,Delivery vehicles,No,,
pallankulama,male,7,not mentioned,Poor,7,Fish,No,Yes,Not mentioned,,,As a food habit,Taste,No change,,No,No,,Agree,3-4 times a week,One meal,2,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,,No purchasing,,,Less fishing these days,Not mentioned ,No,,
pallankulama,female,6,17,Good,5,Fish,Yes,Yes,Korali ,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,,4 - 6 kg,,,,,,,,,,,,,,,,Fewer places to purchase,Directly from fishermen,No,,
pallankulama,male,6,not mentioned,Very Good,7,Fish,Yes,Yes,Theppili ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,2,Fried fish,,,,,,,,,,,,2 - 4 kg,Theppili ,,1 - 1.5 kg,,,Less fishing these days,Wholesale,No,,
pallankulama,male,6,16,Good,5,Fish,No,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,Due to climate conditions ,Agree,Twice a week,Two meals,3,Curry (With coconut milk),,Less than 2 kg,,,,,,,,,,,,Less than 0.5 kg,,,,Less fishing these days,Directly from fishermen,No,,
rambewa,female,5,13.5,Good,5,Fish,Yes,Yes,Loolla ,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,2,Fried fish,,,,2 - 4 kg,,,,,,,,2 - 4 kg,Lellu,,,,,Fewer places to purchase,Fair,No,,
pallankulama,female,6,18,not mentioned,5,Fish,Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Neither agree nor disagree,Once a week,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,female,6,15,not mentioned,4,Fish,Yes,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (Chilled),2 - 4 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
pallankulama,female,6,20,Good,4,Fish,Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,3-4 times a week,One meal,2,Curry (Chilled),,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,Yes,,
pallankulama,female,6,21,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Korali ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Once a week,Three meals,2,Curry (Chilled),,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
pallankulama,female,9,21,Very Good,5,Fish,Yes,Yes,Korali ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,2,Curry (Chilled),,4 - 6 kg,,,,,,,,,,,,No purchasing,No purchasing,,,Fewer places to purchase,Directly from fishermen,No,,
medawachchiya,male,7,18,Good,6,Fish,No,Yes,Loolla ,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
pallankulama,female,8,19,not mentioned,4,Fish,No,Yes,Not mentioned,,,Not mentioned ,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,1,Fried fish,4 - 6 kg,,Less than 2 kg,4 - 6 kg,,,,,,,,,,1 - 1.5 kg,,,,Fish yield is low,Directly from fishermen,No,,
pallankulama,female,8,16,Good,5,Fish,Yes,Yes,Not mentioned,,,As a food habit,Taste,Decreased,,No,No,,Agree,Once a week,Two meals,,Fried fish,Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Fish yield is low,Directly from fishermen,No,,
pallankulama,male,7,25,Very Good,4,Fish,Yes,Yes,Loolla ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,Yes,No,,Agree,3-4 times a week,Two meals,2,Fried fish,Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,,,,,Less than 0.5 kg,,,Expensive,Directly from fishermen,No,,
ihalakolongaswewa,male,4,14,Good,5,Fish,No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
ihalakolongaswewa,male,6,17,Good,5,Fish,No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
ihalakolongaswewa,male,8,23,Good,5,Fish,No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,Less than 2 kg,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
ihalakolongaswewa,male,4,14.8,not mentioned,5,Fish,No,Yes,Theppili ,,,Milder taste,Cheaper than other protein sources,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,2 - 4 kg,,,Less than 2 kg,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,No,,
wahamalgollewa,male,7,14,Good,6,Eggs,Yes,Yes,Theppili ,,,As a food habit,Readily available,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Curry (With coconut milk),4 - 6 kg,,,,,,,,,,,2 - 4 kg,Theppili ,1 - 1.5 kg,,,,Fish yield is low,Directly from fishermen,No,,
galviragollewa,female,10,21,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Loolla ,,,Milder taste,Nutritional benefits,Increased,Preference of the child has increased ,No,No,,Agree,Twice a week,Two meals,2,Fried fish,2 - 4 kg,,2 - 4 kg,2 - 4 kg,,,2 - 4 kg,,,,,,,0.5 - 1 kg,1 - 1.5 kg,,,Expensive,Directly from fishermen,No,,
galviragollewa,female,5,12,Good,4,Fish,Yes,Yes,Tilapia ,,,Milder taste,Nutritional benefits,Increased,Readily available ,No,No,,Agree,3-4 times a week,Two meals,2,Curry (Chilled),2 - 4 kg,,2 - 4 kg,Less than 2 kg,,,2 - 4 kg,,,,,,,0.5 - 1 kg,0.5 - 1 kg,,,Expensive,Directly from fishermen,No,,
ihalakolongaswewa,male,6,18,Good,3,Fish,Yes,Yes,Tilapia ,,,"Milder taste, Awareness of nutritional quality",Nutritional benefits,No change,,Yes,No,,Agree,3-4 times a week,One meal,2,"Curry (Chilled), Curry (With coconut milk), Fried fish",Less than 2 kg,,,2 - 4 kg,,,,,,,,,,0.5 - 1 kg,1 - 1.5 kg,,,Expensive,"Delivery vehicles, Directly from fishermen",No,,
ihalakolongaswewa,female,9,not mentioned,not mentioned,5,"Meat (Chicken,Beef, Pork, etc.)",No,No,Not mentioned,Unpleasant smell,Explaining the benefits of eating fish,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ihalakolongaswewa,male,7,13,not mentioned,5,Fish,No,Yes,Kawayya ,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Curry (Chilled),,,,,,,Less than 2 kg,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
ihalakolongaswewa,male,7,19,not mentioned,7,Fish,Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,2,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Fair,No,,
pallankulama,female,4,10.5,Good,6,Fish,Yes,Yes,Not mentioned,,,Milder taste,"Nutritional benefits, Taste, Readily available",Decreased,Economic difficulties ,No,No,,Neither agree nor disagree,3-4 times a week,Two meals,1,Curry (With coconut milk),2 - 4 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Directly from fishermen,No,,
pallankulama,female,4,11.7,Fair,6,Fish,Yes,Yes,Theppili ,,,Milder taste,Freshness,No change,,No,No,,Neither agree nor disagree,3-4 times a week,Two meals,1,Curry (With coconut milk),,,,,,,,,,,,2 - 4 kg,Theppili ,,,,,Expensive,Directly from fishermen,No,,
pallankulama,female,4,12.5,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Not mentioned,,,"As a food habit, Awareness of nutritional quality","Nutritional benefits, Health benefits",No change,,No,No,,Strongly agree,Once a week,Three meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,Less than 2 kg,,,,,,Less than 2 kg,Lellu,0.5 - 1 kg,,,,"Expensive, Fish yield is low","Delivery vehicles, Directly from fishermen",No,,
pallankulama,female,5,14,Very Good,4,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Increased,,No,No,,Neither agree nor disagree,Twice a week,Two meals,2,Fried fish,,,,4 - 6 kg,,,,,,,,,,,More than 2 kg,,,,Not mentioned ,No,,
gonewa,male,3,13.3,Good,4,"Fish, Eggs, Dairy Products",Yes,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,Yes,No,,Agree,Few times a month,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
mahakanadarawa,male,4,14,Fair,3,Eggs,No,Yes,Tilapia ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
rambewa,male,5,15,Very Good,4,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Not mentioned,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Three meals,2,Fried fish,More than 6 kg,,,,,,,,,,,,,,1.5 - 2 kg,,,Expensive,Wholesale,No,,
pallankulama,male,4,14,Excellent,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Theppili ,,,Milder taste,Nutritional benefits,No change,,Yes,No,,Strongly agree,3-4 times a week,Two meals,3,Fried fish,2 - 4 kg,,,,,,,,,,,2 - 4 kg,Theppili ,1.5 - 2 kg,,,,Expensive,Delivery vehicles,No,,
rambewa,female,3,14.2,Good,5,Fish,No,Yes,Not mentioned,,,Milder taste,"Cheaper than other protein sources, Freshness",No change,,No,No,,Neither agree nor disagree,3-4 times a week,One meal,1,Fried fish,4 - 6 kg,More than 6 kg,Less than 2 kg,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Directly from fishermen,No,,
ukkulankulama,male,4,15.5,Very Good,4,"Fish, Eggs",Yes,Yes,Korali ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,1,Curry (Chilled),Less than 2 kg,2 - 4 kg,,Less than 2 kg,,,,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Expensive,Directly from fishermen,No,,
ukkulankulama,male,3,11,Good,4,Fish,Yes,Yes,Not mentioned,,,As a food habit,Nutritional benefits,No change,,No,No,,Strongly agree,Once a week,Two meals,1,Curry (Chilled),Less than 2 kg,2 - 4 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,,,2 - 4 kg,Lellu ,Less than 0.5 kg,Less than 0.5 kg,,,Expensive,Fish stall,No,,
rambewa,female,3,12.2,not mentioned,not  mentioned,Eggs,No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,Increased,,Yes,No,,Agree,Once a week,Two meals,2,Fried fish,Less than 2 kg,2 - 4 kg,,Less than 2 kg,,,,,,,,,,Less than 0.5 kg,,,,Fewer places to purchase,Delivery vehicles,No,,
nabadagaswewa,male,3,11,Very Good,3,"Fish, Eggs",Maybe,Yes,Tilapia & Theppili ,,Serve with their favorite foods,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,Theppili ,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
rambewa,male,3,10.9,not mentioned,6,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Not mentioned,,Serve with their favorite foods,Milder taste,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,Twice a week,Three meals,2,Fried fish,,4 - 6 kg,,2 - 4 kg,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
ikirigollewa,female,5,14.5,Excellent,5,"Fish, Eggs",Yes,Yes,Korali ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (With coconut milk),,4 - 6 kg,,4 - 6 kg,,,,,,,,,,,1 - 1.5 kg,,,Expensive,Delivery vehicles,No,,
rambewa,male,5,17,Good,4,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Theppili ,,,Milder taste,Nutritional benefits,Increased,Preference of the child has increased ,No,No,,Agree,Twice a week,Three meals,1,Fried fish,,,,,,,,,,,,2 - 4 kg,Theppili ,1 - 1.5 kg,,,,Expensive,Fish stall,No,,
rambewa,male,4,not mentioned,Good,3,Eggs,Yes,Yes,Tilapia ,,,As a food habit,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Fewer places to purchase,Fish stall,No,,
